Name,Year,Duration,Genre,Votes,Director,Actor 1,Actor 2,Actor 3,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,Revenue_Millions,Rating
22 Days,2018,124,Thriller,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,585,218,10000,431620,12652,741,854,77000,408.08,6.1
22 June 1897,1979,121,"Drama, History",52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,370,4000,19000,106072,32921,398,13000,65000,187.99,7.7
22 Yards,2019,126,Sport,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,453,4000,21000,522371,48638,723,19000,18000,232.6,6.1
23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,416,274,26000,228554,72881,710,17000,53000,93.38,5.1
27 Down,1974,115,Drama,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,401,171,11000,252257,15516,634,2000,89000,,6.9
3 AM: A Paranormal Experience,2014,103,"Horror, Romance",514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,521,198,10000,317542,14363,620,2000,45000,97.66,5
3 Bachelors,2012,114,"Comedy, Romance",165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,218,47,18000,116994,20965,324,1000,35000,27.85,3.3
3 Deewarein,2003,115,"Crime, Drama",2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,576,94,19000,496749,36188,742,11000,55000,,7.8
3 Dev,2019,122,Comedy,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,443,663,2000,128306,5046,497,638,37000,12.79,6.9
3 Idiots,2009,170,"Comedy, Drama",357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,384,38,756,279093,2963,433,719,41000,4.21,8.4
3 Storeys,2018,100,Drama,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,377,66,975,272534,4451,345,931,40000,241.06,6.9
3.0 Megapixel,2015,99,"Adventure, Drama",6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,286,776,890,58137,3233,520,812,67000,3.44,4.3
31st October,2015,109,"Action, Drama, History",238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,288,255,18000,485430,20453,492,953,33000,,5.8
36 China Town,2006,140,"Comedy, Mystery, Thriller",4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,653,571,14000,682155,32438,1097,14000,96000,158.8,5.7
36 Chowringhee Lane,1981,122,"Drama, Romance",392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,712,22000,11000,928227,31488,2725,11000,349000,,7.5
376 D,2020,128,"Crime, Thriller",252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,642,22000,29000,1468200,81115,2803,27000,175000,936.63,5.7
377 AbNormal,2019,93,Drama,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,187,357,23000,272223,45327,988,14000,14000,30.35,5.6
3D Saamri,1985,102,Horror,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,362,21000,11000,459346,13333,822,1000,23000,32.46,5.6
3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,500,905,34000,518537,50983,698,13000,54000,43,3.6
3rd EYE,2019,145,Horror,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,389,508,34000,166137,81385,383,22000,38000,533.32,6.3
404: Error Not Found,2011,121,"Drama, Mystery, Thriller",2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,235,226,12000,124185,13388,238,418,11000,7.08,7.3
417 Miles,2016,75,Drama,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,218,33,40000,21352,80806,131,25000,30000,89.21,4.8
498A-The Wedding Gift,2012,113,"Drama, Family, Musical",21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,474,230,24000,188457,38873,867,10000,82000,56.23,7.8
5 Ghantey Mien 5 Crore,2012,111,Thriller,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,228,150,531,106446,764,227,82,11000,3.18,5.7
5 Rifles,1974,134,"Action, Comedy",36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,323,508,10000,530870,13076,1413,1000,11000,125.07,6.5
5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",19,G. Venugopal,Akash,Avinash,Gagan,318,663,1000,473887,4764,626,1000,10000,330.25,4.6
6-5=2,2014,104,Horror,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,478,22000,23000,980946,59558,2685,14000,15000,,4.2
68 Pages,2007,92,Drama,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,185,189,49000,130272,54039,209,3000,2000,75.31,6.2
7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,406,69,1000,421658,2582,904,523,58000,166.15,5.3
7 Bijliyaan,1988,126,Action,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,486,230,26000,414070,59803,532,20000,63000,53.08,5
7 Hours to Go,2016,115,"Crime, Thriller",398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,739,750,27000,552503,40025,1588,9000,191000,128.25,5.7
7 Islands and a Metro,2006,100,Documentary,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,310,473,14000,152826,16184,253,897,19000,31.86,6.2
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,526,13000,40000,199039,80849,479,17000,82000,153.63,6.1
7 Saal Baad,1987,127,"Drama, Horror, Musical",34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,465,188,10000,232187,21840,440,10000,47000,0.01,4.1
706,2019,120,Thriller,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,248,282,11000,42372,21175,239,10000,29000,61.28,5.3
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,284,90,11000,182718,21015,209,10000,20000,,5.3
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,339,776,17000,164238,18204,434,551,33000,40.07,5.4
8119 Miles,2021,115,"Adventure, Drama, Mystery",21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,256,456,20000,39956,21393,186,548,24000,3.73,6.6
88 Antop Hill,2003,119,"Mystery, Thriller",66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,196,50,3000,47900,5810,130,1000,11000,30.98,4.7
9 O' Clock,2017,124,Action,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,211,35,851,119213,2444,154,770,17000,341.26,5.3
99,2009,135,"Comedy, Crime, Drama",2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,464,176,783,69757,2097,1211,370,62000,309.4,7.3
99 Songs,2019,128,"Musical, Romance",1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,208,188,10000,270207,14823,606,3000,2000,623.28,7.4
99.9 FM,2005,90,"Crime, Drama",38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,210,5,24000,64322,36095,145,11000,24000,120.52,4.8
A Billion Colour Story,2016,105,Drama,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,432,663,10000,365104,21768,512,10000,35000,423.03,8.1
A Daughter's Tale PANKH,2017,145,Drama,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,256,52,20000,123553,20645,174,315,25000,128.34,6.3
A Death in the Gunj,2016,110,"Drama, Thriller",4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,135,23,957,110788,1997,258,550,2000,292.57,7.5
A Film by Aravind,2005,150,"Horror, Mystery",179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,518,14000,26000,504419,39284,1559,12000,19000,5.88,6.8
A Flat,2010,103,"Drama, Horror, Romance",202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,292,255,18000,221128,23378,343,3000,46000,116.87,4.5
A Flying Jatt,2016,151,"Action, Adventure, Comedy",4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,184,295,18000,51892,19769,273,934,24000,167.74,3
A Game Called Relationship,2020,109,"Comedy, Romance",181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,351,209,17000,146352,31958,288,12000,42000,350.03,6.3
A Gentleman,2017,145,"Action, Comedy",5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,510,394,11000,508818,19761,679,3000,46000,652.18,6.2
A Gift of Love: Sifar,2019,95,"Drama, Romance",33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,197,150,766,157519,2037,683,536,2000,10.38,8
A Journey of Samyak Buddha,2013,127,Drama,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,322,386,21000,185394,59177,329,17000,65000,760.51,7.3
A New Love Ishtory,2013,140,Romance,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,252,14000,535,12572,1950,106,400,27000,54.12,6
A Scandall,2016,112,Thriller,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,166,13,16000,62424,17416,90,881,13000,86.2,3.1
A Sublime Love Story: Barsaat,2005,143,"Drama, Romance",627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,362,563,40000,183208,43291,337,1000,26000,60.96,3.8
A Thin Line,2019,104,Drama,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,153,35,19000,60230,19963,118,411,11000,47.17,7.9
A Wednesday,2008,104,"Action, Crime, Drama",75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,266,54,11000,307029,12754,360,967,6000,169.71,8.1
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,517,235,2000,313866,5730,549,2000,61000,43.02,5.5
AA BB KK,2018,121,Drama,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,502,508,34000,498397,49355,706,14000,82000,458.99,8
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,322,386,21000,185394,59177,329,17000,65000,36.25,5
Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,165,12,17000,70121,17883,214,523,26000,4.68,7.2
Aa Gale Lag Jaa,1994,158,"Mystery, Romance",115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,246,50,4000,114287,5046,137,442,16000,0.15,4.4
Aa Gaya Hero,2017,123,Action,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,330,176,11000,245621,12406,514,702,23000,1.29,2.7
Aa Jao Please,2016,120,Drama,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,440,14000,2000,177383,4631,447,871,44000,132.37,6.8
Aabra Ka Daabra,2004,144,Fantasy,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,154,189,49000,67223,53587,126,3000,11000,1.87,2.4
Aabroo,1968,170,"Comedy, Crime, Drama",21,C.L. Rawal,Ashok Kumar,Vimi,Rehman,233,96,24000,172754,46120,187,11000,13000,181.02,5.5
Aadamkhor,2018,72,Horror,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,208,124,16000,91640,31549,210,12000,20000,228.43,7.4
Aadat Se Majboor,1982,105,"Action, Crime, Drama",28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,271,563,40000,809474,48184,2113,5000,10000,,5.5
Aadha Din Aadhee Raat,1977,132,Action,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,403,508,34000,305008,81385,591,22000,52000,45.43,5.1
Aadhaar,2019,107,Drama,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,342,681,23000,284792,55345,366,14000,54000,26.86,7.6
Aadharshila,1982,154,Drama,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,344,255,14000,229679,18003,637,1000,15000,1.66,6.4
Aadhi Bhagavan,2013,157,"Action, Crime, Thriller",568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,436,209,10000,229823,12175,504,826,31000,126.59,5.4
Aadhi Raat,1950,115,"Drama, Romance",9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,239,776,15000,333248,20553,1159,2000,19000,,6.7
Aadmi,1968,175,"Drama, Romance",196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,267,521,13000,40123,13752,297,365,31000,25.44,6.8
Aadmi,1993,153,"Action, Crime, Drama",97,Arshad Khan,Ajit,Vikas Anand,Arjun,71,50,886,36471,2682,69,799,459,10.16,6.5
Aadmi Aur Apsara,1991,142,Fantasy,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,476,662,13000,338087,17689,814,2000,61000,56.67,6.7
Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,492,294,10000,182899,14161,630,2000,60000,,6.2
Aadmi Khilona Hai,1993,158,"Drama, Romance",142,J. Om Prakash,Jeetendra,Reena Roy,Govinda,283,446,10000,148280,12731,348,973,11000,210.59,5
Aadmi Ki Aurat Aur Anya Kahaniya,2009,78,Drama,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,539,364,11000,387436,22004,892,10000,71000,380.96,7.6
Aadmi Sadak Ka,1977,138,"Drama, Family",34,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,440,446,20000,328067,23755,533,992,68000,54.73,5.4
Aadupuliyattam,2016,145,Horror,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri,257,16,16000,150618,43286,195,15000,28000,1.33,4.2
Aafat,1977,148,"Crime, Drama",17,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.,231,19,26000,37750,46719,134,11000,16000,11.15,5.3
Aag,1948,138,"Musical, Romance",357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana,348,473,833,167085,2690,491,809,62000,71.9,7.4
Aag,1994,139,"Action, Comedy, Drama",227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre,181,13,5000,17533,8306,115,833,12000,486.29,4.6
Aag Aur Chingari,1994,133,Action,13,Kanti Shah,Alpana,Aparajita,Asrani,369,128,596,110486,1261,695,360,41000,87.24,4.1
Aag Hi Aag,1987,170,Action,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee,179,189,49000,234480,55486,444,3000,3000,150.83,5.3
Aag Ka Gola,1990,180,"Action, Drama",101,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh,358,62,12000,147497,16718,499,2000,52000,46.01,4.8
Aag Ka Toofaan,1993,137,Action,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani,192,776,13000,207613,19454,1144,2000,4000,,4.8
Aag Ke Sholay,1988,138,"Action, Thriller",7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi,263,124,14000,154621,22622,258,5000,27000,448.13,3.4
Aag Se Khelenge,1989,151,Action,52,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor,447,1000,11000,136019,13391,443,1000,14000,364,5
Aage Maut Peeche Maut,2001,78,Horror,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila,366,263,6000,225273,10583,523,1000,71000,245.43,3.1
Aagey Se Right,2009,117,"Comedy, Crime, Drama",381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra,172,67,383,66593,692,153,113,31000,38.56,5
Aaghaaz,2000,153,"Action, Crime, Drama",274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar,104,6,12000,13581,13607,88,513,304,143.7,4.2
Aah,1953,150,"Drama, Musical, Romance",275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi,181,124,6000,44296,12452,144,5000,12000,183.64,7.2
Aahuti,1978,135,"Action, Drama",25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan,327,189,20000,254841,22254,426,929,36000,57.64,6
Aaina,1993,149,"Drama, Romance",448,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh,79,101,673,60573,2027,248,368,894,128,6
Aaina,1977,150,Drama,94,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal,326,151,11000,184561,12908,554,635,123000,55.12,6.8
Aaj,1987,116,Drama,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran,109,34,760,36033,2762,456,743,946,13.09,5.5
Aaj Aur Kal,1963,144,"Drama, Romance",52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda,228,63,852,89351,2480,214,578,5000,238.67,5.6
Aaj Ka Andha Kanoon,2003,46,Action,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali,62,23,752,4102,3133,89,631,53,21.38,3.1
Aaj Ka Arjun,1990,164,"Action, Crime, Drama",586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar,265,285,12000,189806,20233,316,8000,16000,74.27,4.7
Aaj Ka Daur,1985,153,"Action, Drama",40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy,765,16000,29000,955174,40978,1193,11000,199000,144.81,5.1
Aaj Ka Goonda Raaj,1992,147,"Action, Thriller",144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar,383,165,26000,246803,57881,474,13000,108000,127.97,5.3
Aaj Ka Mahaatma,1976,170,"Action, Romance",23,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet,256,456,20000,39956,21393,186,548,24000,,3.5
Aaj Ka Ravan,2000,128,"Action, Crime",31,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan,203,77,14000,85833,14552,113,151,17000,257.7,4.3
Aaj Ka Samson,1991,123,"Action, Romance",14,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor,321,207,40000,176598,55175,374,11000,25000,64,3.1
Aaj Kaa M.L.A. Ram Avtar,1984,157,"Action, Drama",65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma,166,380,29000,400292,33160,657,3000,14000,70.24,5.8
Aaj Ke Angaarey,1988,128,"Action, Drama",26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh,606,17000,29000,780588,46057,1138,11000,138000,14.68,5
Aaj Ke Shahenshah,1990,132,Action,15,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday,511,670,15000,284825,22686,828,5000,124000,162.8,3.3
Aaj Ki Awaz,1984,137,"Action, Drama, Crime",79,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan,245,420,12000,115687,16235,269,3000,21000,2.01,5.6
Aaja Meri Jaan,1993,162,Romance,30,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor,320,385,26000,127258,52610,351,13000,56000,14.26,4.4
Aaja Nachle,2007,137,"Drama, Family, Music",2998,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav,163,19,1000,33953,3962,163,897,37000,107.5,6.2
Aaja Sanam,1968,121,"Drama, Romance",14,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma,78,6,490,40751,1195,239,294,881,121.46,6.7
Aakhree Raasta,1986,164,"Action, Crime, Drama",1283,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada,289,2000,26000,71782,28328,161,911,27000,34.26,7.1
